| Government | EUROPEAN UNION |
| Executive branch: | note: for external representation and foreign policy making, leaders of the EU member states appointed Federica MOGHERINI (Italy) as the High Representative of the European Union for Foreign Affairs and Security Policy; MOGHERINI took office on 1 November 2014, succeeding Catherine ASHTON (UK) (2009-14); the High Representative's concurrent appointment as Vice President of the European Commission endows her position with the policymaking influence of the Council of the EU and the budgetary influence (subject to Council's approval) of the Council of the EU and the budgetary/management influence of the European Commission; the High Representative helps develop and implement the EU's Common Foreign and Security Policy and Common Security and Defense Policy component, chairs the Foreign Affairs Council, represents and acts for the Union in many international contexts, and oversees the European External Action Service, the diplomatic corps of the EU, established on 1 December 2010 |
| Legislative branch: | description: two legislative bodies consisting of the Council of the European Union (28 seats; ministers representing the 28 member states) and the European Parliament (751 seats; seats allocated among member states roughly in proportion to population size; members elected by proportional representation to serve 5-year terms); note - the European Parliament President, currently Martin SCHULZ (German Socialist) is elected by a majority of fellow members of the European Parliament (MEPs) and represents the Parliament within the EU and internationally; the Council of the EU and the MEPs share responsibilities for adopting the bulk of EU legislation, normally acting in co-decision on Commission proposals (but not in the area of Common Foreign and Security Policy, which is governed by consensus of the EU member state governments) |
| Legislative branch: | elections: last held on 22-25 May 2014 (next to be held May-June 2019) |
| Legislative branch: | election results: percent of vote - EPP 29.4%, S&D 25.4%, ECR 9.3%, ALDE 8.9%, GUE/NGL 6.9%, Greens/EFA 6.7%, EFD 6.4%, independent 6.9%; seats by party - EPP 221, S&D 191, ECR 70, ALDE 67, GUE/NGL 52, Greens/EFA 50, EFD 48, independent 52 |
| Judicial branch: | note: the European Court of Justice (ECJ) ensures that EU law is interpreted and applied uniformly throughout the EU, resolves disputed issues among the EU institutions and with member states, issues opinions on questions of EU law referred by member state courts |
| Judicial branch: | highest court(s): European Court of Justice (consists of 28 judges - 1 from each member state); the court may sit as a full court, in a "Grand Chamber" of 13 judges in special cases, but usually in chambers of 3 to 5 judges |
| Judicial branch: | judge selection and term of office: judges appointed by the common consent of the member states to serve 6-year renewable terms |
| Judicial branch: | subordinate courts: General Court; Civil Service Tribunal |
| Political parties and leaders: | Alliance of Liberals and Democrats for Europe or ALDE [Guy VERHOFSTADT] |
| Political parties and leaders: | European United Left-Nordic Green Left or GUE/NGL [Gabriele ZIMMER] |
| Political parties and leaders: | Europe of Freedom and Direct Democracy or EFDD [Nigel FARAGE and David BORRELLI] |
| Political parties and leaders: | Europe of Nations and Freedom or ENF [Marine LE PEN and Marcel DE GRAAFF] |
| Political parties and leaders: | European Conservatives and Reformists or ECR [Syed KAMALL] |
| Political parties and leaders: | European Greens/European Free Alliance or Greens/EFA [Rebecca HARMS and Philippe LAMBERTS] |
| Political parties and leaders: | European People's Party or EPP [Manfred WEBER] |
| Political parties and leaders: | Group of the Alliance of Socialists and Democrats or S&D [Gianni PITELLA] |
| International organization participation: | ARF, ASEAN (dialogue member), Australian Group, BIS, BSEC (observer), CBSS, CERN, EBRD, FAO, FATF, G-8, G-10, G-20, IDA, IEA, IGAD (partners), LAIA (observer), NSG (observer), OAS (observer), OECD, PIF (partner), SAARC (observer), SICA (observer), UN (observer), UNRWA (observer), WCO, WTO, ZC (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador David O'SULLIVAN (since 19 November 2014) |
| Diplomatic representation in the US: | chancery: 2175 K Street, NW, Suite 800, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 862-9500 |
| Diplomatic representation in the US: | FAX: [1] (202) 429-1766 |
| Diplomatic representation from the US: | chief of mission: Ambassador Anthony Luzzatto GARDNER (since 18 March 2014) |
| Diplomatic representation from the US: | embassy: 13 Zinnerstraat/Rue Zinner, B-1000 Brussels |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [32] (2) 811-4100 |
| Diplomatic representation from the US: | FAX: [32] (2) 811-5154 |
| Flag description: | a blue field with 12 five-pointed gold stars arranged in a circle in the center; blue represents the sky of the Western world, the stars are the peoples of Europe in a circle, a symbol of unity; the number of stars is fixed |
| National symbol(s): | a circle of 12, five-pointed, golden yellow stars on a blue field; union colors: blue, yellow |
| National anthem: | name: "Ode to Joy" |
| National anthem: | lyrics/music: no lyrics/Ludwig VAN BEETHOVEN, arranged by Herbert VON KARAJAN |
| National anthem: | note: official EU anthem since 1985; the music is meant to represent all of Europe rather than just the organization, conveying ideas of peace, freedom, and unity |
